     sec               kgf         kgf/mm2              mm               %          Spare1          Spare2
==========================================================================================================
   2.710	     0.964	     0.136	    10.729	    42.916	   0.00000	   0.00000
   2.715	     0.964	     0.136	    10.754	    43.016	   0.00000	   0.00000
   2.725	     0.966	     0.136	    10.779	    43.116	   0.00000	   0.00000
   2.730	     0.968	     0.137	    10.804	    43.217	   0.00000	   0.00000
   2.735	     0.969	     0.137	    10.854	    43.417	   0.00000	   0.00000
   2.745	     0.971	     0.137	    10.879	    43.517	   0.00000	   0.00000
   2.750	     0.972	     0.137	    10.904	    43.618	   0.00000	   0.00000
   2.760	     0.974	     0.137	    10.955	    43.818	   0.00000	   0.00000
   2.770	     0.976	     0.138	    10.980	    43.919	   0.00000	   0.00000
   2.780	     0.978	     0.138	    11.030	    44.119	   0.00000	   0.00000
   2.790	     0.980	     0.138	    11.080	    44.320	   0.00000	   0.00000
   2.800	     0.983	     0.139	    11.155	    44.620	   0.00000	   0.00000
   2.810	     0.984	     0.139	    11.180	    44.721	   0.00000	   0.00000
   2.820	     0.987	     0.139	    11.230	    44.921	   0.00000	   0.00000
   2.830	     0.988	     0.139	    11.280	    45.122	   0.00000	   0.00000
   2.840	     0.991	     0.140	    11.331	    45.322	   0.00000	   0.00000
   2.850	     0.992	     0.140	    11.356	    45.423	   0.00000	   0.00000
   2.860	     0.995	     0.140	    11.406	    45.623	   0.00000	   0.00000
   2.870	     0.996	     0.141	    11.431	    45.723	   0.00000	   0.00000
   2.885	     0.999	     0.141	    11.481	    45.924	   0.00000	   0.00000
   2.890	     1.001	     0.141	    11.506	    46.024	   0.00000	   0.00000
   2.895	     1.002	     0.141	    11.556	    46.225	   0.00000	   0.00000
   2.905	     1.003	     0.142	    11.581	    46.325	   0.00000	   0.00000
   2.910	     1.005	     0.142	    11.606	    46.425	   0.00000	   0.00000
   2.915	     1.006	     0.142	    11.656	    46.626	   0.00000	   0.00000
   2.925	     1.008	     0.142	    11.669	    46.676	   0.00000	   0.00000
   2.930	     1.009	     0.142	    11.682	    46.726	   0.00000	   0.00000
   2.935	     1.010	     0.143	    11.707	    46.826	   0.00000	   0.00000
   2.945	     1.012	     0.143	    11.732	    46.927	   0.00000	   0.00000
   2.950	     1.014	     0.143	    11.757	    47.027	   0.00000	   0.00000
   2.955	     1.015	     0.143	    11.807	    47.227	   0.00000	   0.00000
   2.965	     1.016	     0.143	    11.832	    47.328	   0.00000	   0.00000
   2.970	     1.018	     0.144	    11.844	    47.378	   0.00000	   0.00000
   2.975	     1.019	     0.144	    11.857	    47.428	   0.00000	   0.00000
   2.985	     1.020	     0.144	    11.882	    47.528	   0.00000	   0.00000
   2.990	     1.022	     0.144	    11.895	    47.578	   0.00000	   0.00000
   2.995	     1.023	     0.144	    11.907	    47.629	   0.00000	   0.00000
   3.010	     1.026	     0.145	    11.957	    47.829	   0.00000	   0.00000
